freq,mean,p50,p90,p99,p100
408MHz,372053.57,369908,378266,381647,382907
600MHz,274459.01,273686,277256,286335,286860
816MHz,249585.70,248332,252434,269920,270774
1GHz,241780.70,237951,247464,247464,258160
1.20GHz,237350.61,235872,240744,256067,261037
1.42GHz,233475.55,232519,236775,249914,254079
1.61GHz,235289.32,234353,238679,245413,252924
1.80GHz,233280.60,231875,237279,250551,269227
2.02GHz,229383.98,228116,234220,245623,248234
2.21GHz,230841.17,229285,235795,245938,251069
2.30GHz,229017.95,227444,233247,244951,253932
