freq,mean,p50,p90,p99,p100
408MHz,26201585.27,0,222558098,238138012,238343259
600MHz,26499713.45,0,159659906,160929552,161315056
816MHz,24318474.74,0,121396345,122205874,122264765
1GHz,25175093.82,0,98708813,99639925,99957305
1.20GHz,27987434.06,0,84098049,84547617,87110016
1.42GHz,30795685.55,0,63395773,67634798,68374033
1.61GHz,28053769.80,0,59051167,59520587,60158000
1.80GHz,27318702.60,0,55397111,57156512,57985200
2.02GHz,40617196.45,43817312,45284890,45406011,48595197
2.21GHz,43965189.10,43483202,43804145,43804145,47874848
2.30GHz,44078390.30,43583036,45975342,45975342,46136174
