freq,mean,p50,p90,p99,p100
408MHz,2534569.49,2532432,2533706,2535092,5292070
600MHz,1685945.10,1685663,1687385,1688743,1689191
816MHz,1329486.06,1316098,1317316,1318793,2650025
1.01GHz,889073.36,888867,889798,893809,894383
1.20GHz,897976.59,888923,890029,891205,1781983
1.42GHz,612603.74,612451,612920,615062,615909
1.61GHz,543026.68,542815,543361,546567,547127
1.80GHz,548839.06,542409,542815,544628,1175356
2.02GHz,452652.97,445193,445550,447209,1184792
2.21GHz,438477.83,431305,431620,433622,1143653
2.30GHz,431515.14,431445,431711,433734,434504
