freq,mean,p50,p90,p99,p100
408MHz,3052870.17,3030041,3035291,3041619,5259254
600MHz,2022489.63,2022363,2024813,2025660,2025695
816MHz,1591228.17,1579900,1582329,1583652,2662947
1GHz,1250529.70,1250263,1251229,1251229,1251852
1.20GHz,1063913.69,1063531,1066170,1067066,1068732
1.42GHz,733656.63,733509,734034,736008,736295
1.61GHz,653970.31,648704,649026,651875,1164163
1.80GHz,655560.64,650272,650727,653478,1170680
2.02GHz,540953.91,533897,535472,562457,1175398
2.21GHz,516908.07,516817,517503,518112,518560
2.30GHz,522970.91,516180,517874,518469,1159291
